Lead_ID,Email,Age,Region,Industry,Company_Size,Job_Level,Source,Profile_Type,Total_Sessions,Avg_Session_Duration_Min,Bounce_Rate,Total_Pages_Viewed,Unique_Pages_Viewed,Products_Viewed,Product_Detail_Views,Primary_Interest_Category,Secondary_Interest_Category,Added_To_Wishlist,Compared_Products,Used_Price_Filter,Used_Feature_Filter,Search_Queries_Count,Viewed_Pricing_Page,Pricing_Page_Views,Requested_Demo,Filled_Contact_Form,Downloaded_Resources,Watched_Videos,Video_Completion_Rate,Email_Opened,Email_Open_Rate,Email_Click_Rate,Emails_Replied,Subscribed_Newsletter,Initiated_Chat,Chat_Messages_Sent,Submitted_Support_Ticket,Days_Since_First_Visit,Days_Since_Last_Activity,Last_Activity_Type,Visit_Frequency_Per_Week,Avg_Time_Between_Visits,Returned_After_Exit,Deep_Page_Scroll,Preferred_Visit_Time,Device_Type,Engagement_Score,Lead_Converted
LEAD_00011,lead11@example.com,31,Africa,Consulting,11-50,Manager,Content Download,standard_lead,4,3.4,0.49,10,7,0,0,Enterprise Solution,Training Module,0,0,0,1,1,0,0,0,0,1,0,0.0,1,0.33,0.13,0,0,0,0,0,6,1,Just Browsing,4.67,1.5,1,0,Afternoon (12-5),Mobile,4.3,0
LEAD_00012,lead12@example.com,31,Middle East,SaaS,1000+,Individual Contributor,LinkedIn,standard_lead,8,4.1,0.7,11,7,4,1,Training Module,Premium Plan,0,0,1,0,1,0,0,0,0,0,0,0.0,1,0.35,0.17,0,0,0,0,0,61,2,Viewed Product,0.92,7.6,1,0,Morning (9-12),Desktop,12.95,1
LEAD_00013,lead13@example.com,26,Asia Pacific,Education,1-10,Manager,Facebook,standard_lead,3,7.7,0.73,10,8,7,4,Support Package,Custom Integration,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.23,0.0,0,1,0,0,0,56,6,Just Browsing,0.38,18.7,0,0,Afternoon (12-5),Desktop,13.35,0
LEAD_00014,lead14@example.com,32,Africa,Retail,51-200,VP,Email Campaign,standard_lead,8,7.0,0.68,3,2,3,1,Enterprise Solution,Custom Integration,0,0,0,0,1,1,5,0,1,1,1,0.97,0,0.1,0.0,0,1,0,0,0,12,2,Just Browsing,4.67,1.5,1,1,Afternoon (12-5),Mobile,40.7,0
LEAD_00015,lead15@example.com,28,Middle East,Finance,201-1000,Manager,Content Download,warm_lead,13,14.0,0.31,19,11,4,2,Enterprise Solution,Premium Plan,1,1,1,1,4,1,4,0,0,2,2,0.71,1,0.65,0.35,2,0,1,7,0,40,2,Pricing Page,2.27,3.1,1,0,Afternoon (12-5),Mobile,69.6,1
LEAD_00016,lead16@example.com,30,Africa,Real Estate,11-50,Senior Manager,Email Campaign,standard_lead,2,2.7,0.39,10,6,1,0,API Access,Custom Integration,0,0,1,0,1,1,1,0,0,1,0,0.0,0,0.2,0.0,0,0,0,0,0,26,2,Viewed Product,0.54,13.0,0,0,Morning (9-12),Tablet,16.75,1
LEAD_00017,lead17@example.com,22,Africa,Real Estate,1000+,Senior Manager,Content Download,standard_lead,7,5.4,0.63,8,5,2,0,Support Package,Starter Package,0,0,0,0,1,1,1,0,0,0,0,0.0,0,0.33,0.0,1,0,0,0,0,73,4,Email Click,0.67,10.4,1,1,Night (9-12),Desktop,12.9,0
LEAD_00018,lead18@example.com,47,Middle East,Retail,51-200,Director,Cold Outreach,standard_lead,7,4.3,0.56,7,4,1,0,Training Module,Support Package,1,0,0,0,1,0,0,0,0,1,1,0.75,0,0.02,0.0,0,0,0,0,0,45,3,Viewed Product,1.09,6.4,1,0,Night (9-12),Mobile,12.35,0
LEAD_00019,lead19@example.com,37,Middle East,Manufacturing,201-1000,VP,Partner,hot_lead,15,15.3,0.08,35,24,8,5,Training Module,Analytics Add-on,0,1,1,0,4,1,6,0,0,3,2,0.69,1,0.74,0.34,3,0,1,8,0,63,7,Support Chat,1.67,4.2,1,1,Afternoon (12-5),Mobile,82.85,1
LEAD_00020,lead20@example.com,44,Europe,Technology,1-10,Manager,Facebook,standard_lead,7,4.1,0.71,5,3,3,1,Starter Package,Analytics Add-on,0,0,0,0,1,1,2,0,0,0,0,0.0,1,0.42,0.21,0,0,1,5,0,37,1,Just Browsing,1.32,5.3,1,0,Afternoon (12-5),Desktop,27.75,0
LEAD_00021,lead21@example.com,40,Middle East,Technology,1000+,Manager,Trade Show,standard_lead,3,4.3,0.53,4,3,2,1,Premium Plan,API Access,0,0,0,0,1,0,0,0,0,0,2,0.71,0,0.32,0.0,0,0,0,0,0,37,0,Viewed Product,0.57,12.3,0,0,Night (9-12),Mobile,7.65,0
LEAD_00022,lead22@example.com,32,Africa,E-commerce,201-1000,C-Level,Referral,hot_lead,17,9.2,0.09,28,17,7,5,Support Package,Starter Package,1,1,1,1,5,1,5,1,1,1,0,0.0,1,0.59,0.34,2,0,1,11,0,24,2,Support Chat,4.96,1.4,1,1,Morning (9-12),Desktop,98.1,1
LEAD_00023,lead23@example.com,26,Middle East,SaaS,201-1000,Director,Website,standard_lead,5,5.5,0.58,5,3,5,3,API Access,Custom Integration,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0.15,0.0,0,0,0,0,0,66,1,Viewed Product,0.53,13.2,1,0,Night (9-12),Mobile,16.45,0
LEAD_00024,lead24@example.com,45,Europe,E-commerce,1-10,Director,Partner,standard_lead,5,8.2,0.5,6,4,3,1,Starter Package,Training Module,0,0,0,0,1,1,6,0,0,1,0,0.0,0,0.29,0.0,0,0,0,0,0,49,30,Viewed Product,0.71,9.8,1,1,Morning (9-12),Mobile,16.7,0
LEAD_00025,lead25@example.com,48,North America,Retail,1-10,C-Level,Email Campaign,standard_lead,8,5.2,0.61,9,7,3,1,Analytics Add-on,Starter Package,1,1,0,0,0,0,0,0,1,0,0,0.0,0,0.33,0.0,0,0,0,0,0,31,19,Just Browsing,1.81,3.9,1,0,Afternoon (12-5),Tablet,13.5,1
LEAD_00026,lead26@example.com,35,North America,SaaS,201-1000,Director,Referral,hot_lead,15,16.1,0.03,32,21,4,3,Analytics Add-on,Enterprise Solution,0,0,1,1,11,1,1,0,0,2,1,0.72,1,0.41,0.25,3,1,0,0,0,38,6,Viewed Product,2.76,2.5,1,1,Evening (5-9),Desktop,56.05,1
LEAD_00027,lead27@example.com,39,Latin America,Real Estate,51-200,C-Level,Google Ads,standard_lead,7,5.3,0.45,9,6,2,1,Premium Plan,Analytics Add-on,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0.22,0.0,0,0,0,0,0,52,1,Abandoned Session,0.94,7.4,1,0,Morning (9-12),Desktop,11.15,0
LEAD_00028,lead28@example.com,45,Latin America,SaaS,201-1000,Senior Manager,Partner,standard_lead,7,0.5,0.36,6,5,3,1,Premium Plan,Analytics Add-on,1,0,1,0,2,0,0,0,0,2,1,0.88,1,0.38,0.23,0,1,0,0,0,67,2,Viewed Product,0.73,9.6,1,0,Afternoon (12-5),Mobile,26.65,0
LEAD_00029,lead29@example.com,36,Latin America,Technology,1-10,Senior Manager,Trade Show,standard_lead,5,2.3,0.67,13,11,1,0,Support Package,Training Module,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0.08,0.05,0,0,0,0,0,78,54,Just Browsing,0.45,15.6,1,0,Evening (5-9),Desktop,0.0,0
LEAD_00030,lead30@example.com,34,Africa,Retail,11-50,C-Level,Facebook,standard_lead,1,3.7,0.3,10,6,2,1,Support Package,Enterprise Solution,0,0,0,0,0,0,0,0,0,0,1,0.86,1,0.07,0.05,0,1,1,5,0,77,9,Email Click,0.09,77.0,0,0,Night (9-12),Desktop,9.55,1
LEAD_00031,lead31@example.com,43,Asia Pacific,Consulting,201-1000,Senior Manager,Trade Show,standard_lead,5,4.9,0.58,6,4,0,0,Custom Integration,Enterprise Solution,0,1,0,0,0,1,0,0,1,1,0,0.0,1,0.41,0.17,0,0,0,0,0,43,13,Just Browsing,0.81,8.6,1,0,Night (9-12),Mobile,16.85,0
LEAD_00032,lead32@example.com,29,Europe,Real Estate,201-1000,Director,Content Download,warm_lead,9,21.6,0.15,28,16,4,1,Enterprise Solution,Support Package,1,0,0,1,5,1,3,1,1,1,2,0.97,1,0.83,0.42,1,1,0,0,1,80,2,Form Submission,0.79,8.9,1,1,Night (9-12),Desktop,76.5,1
LEAD_00033,lead33@example.com,38,Africa,Consulting,1-10,C-Level,Referral,standard_lead,4,6.6,0.45,10,8,2,1,Analytics Add-on,Custom Integration,0,0,1,0,0,1,6,0,1,0,0,0.0,1,0.23,0.16,0,0,0,0,0,78,12,Abandoned Session,0.36,19.5,1,0,Night (9-12),Mobile,35.5,1
LEAD_00034,lead34@example.com,35,Asia Pacific,E-commerce,201-1000,Director,Content Download,warm_lead,15,11.3,0.22,21,18,8,6,API Access,Training Module,1,1,1,1,6,1,4,0,0,2,2,0.86,1,0.71,0.36,2,0,0,0,0,55,3,Demo Request,1.91,3.7,1,1,Afternoon (12-5),Desktop,74.15,1
LEAD_00035,lead35@example.com,36,Asia Pacific,SaaS,201-1000,C-Level,Facebook,standard_lead,5,3.3,0.7,4,3,0,0,Custom Integration,Premium Plan,0,0,0,0,2,1,3,0,0,0,0,0.0,0,0.34,0.0,1,0,0,0,0,78,9,Just Browsing,0.45,15.6,1,0,Evening (5-9),Desktop,9.15,1
LEAD_00036,lead36@example.com,65,Latin America,Technology,1000+,Director,Content Download,standard_lead,2,6.2,0.39,9,7,4,1,Training Module,Support Package,0,0,0,0,3,0,0,0,0,1,0,0.0,0,0.35,0.0,1,0,0,0,0,87,7,Email Click,0.16,43.5,0,0,Evening (5-9),Mobile,8.1,0
LEAD_00037,lead37@example.com,43,North America,Healthcare,201-1000,Individual Contributor,LinkedIn,standard_lead,10,4.8,0.57,3,2,2,1,Support Package,Custom Integration,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.15,0.09,0,1,0,0,0,42,7,Email Click,1.67,4.2,1,0,Evening (5-9),Mobile,6.0,0
LEAD_00038,lead38@example.com,51,Asia Pacific,Manufacturing,1-10,Senior Manager,Content Download,standard_lead,2,1.2,0.3,8,4,3,1,Custom Integration,API Access,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0.17,0.0,0,0,0,0,0,72,11,Viewed Product,0.19,36.0,0,1,Night (9-12),Desktop,3.3,0
LEAD_00039,lead39@example.com,49,Africa,Real Estate,11-50,Director,Webinar,standard_lead,4,0.9,0.4,9,7,4,1,Training Module,API Access,0,0,1,0,1,1,5,0,1,2,0,0.0,1,0.38,0.22,0,0,0,0,0,53,2,Abandoned Session,0.53,13.2,1,0,Night (9-12),Mobile,45.65,0
LEAD_00040,lead40@example.com,44,Africa,Real Estate,51-200,C-Level,Content Download,standard_lead,2,6.4,0.79,9,7,2,0,Enterprise Solution,Support Package,0,0,1,0,2,0,0,0,0,0,0,0.0,0,0.13,0.0,0,1,0,0,0,7,7,Viewed Product,2.0,3.5,0,1,Evening (5-9),Tablet,0.8,1
LEAD_00041,lead41@example.com,42,North America,Education,51-200,Director,Referral,engaged_smb,20,5.8,0.0,22,19,9,5,Premium Plan,Starter Package,1,0,1,0,5,1,4,0,1,3,6,0.9,1,0.76,0.37,1,1,0,0,0,8,8,Viewed Product,17.5,0.4,1,0,Night (9-12),Tablet,95.4,1
LEAD_00042,lead42@example.com,45,Europe,Consulting,51-200,VP,Google Ads,standard_lead,8,3.1,0.72,9,8,2,1,Support Package,Analytics Add-on,0,0,0,1,2,0,0,0,0,1,0,0.0,0,0.14,0.0,0,0,0,0,0,7,0,Viewed Product,8.0,0.9,1,1,Morning (9-12),Tablet,8.65,0
LEAD_00043,lead43@example.com,45,Asia Pacific,SaaS,51-200,Manager,LinkedIn,warm_lead,14,12.2,0.0,17,11,6,4,Premium Plan,Training Module,0,0,1,0,4,1,4,0,1,1,0,0.0,1,0.74,0.43,2,1,0,0,0,38,0,Form Submission,2.58,2.7,1,1,Afternoon (12-5),Mobile,69.8,1
LEAD_00044,lead44@example.com,49,Asia Pacific,E-commerce,51-200,Manager,Content Download,warm_lead,11,16.8,0.12,29,17,5,3,Support Package,Training Module,1,0,0,0,1,1,3,1,0,5,3,0.8,1,0.49,0.26,5,0,0,0,0,39,0,Support Chat,1.97,3.5,1,1,Night (9-12),Desktop,81.6,1
LEAD_00045,lead45@example.com,39,Latin America,Manufacturing,1000+,Director,Email Campaign,standard_lead,6,5.8,0.62,5,3,0,0,Starter Package,Training Module,0,0,1,1,1,0,0,0,0,0,0,0.0,1,0.2,0.13,0,1,0,0,0,17,2,Abandoned Session,2.47,2.8,1,0,Morning (9-12),Desktop,6.3,0
LEAD_00046,lead46@example.com,32,Asia Pacific,Healthcare,1-10,Manager,Trade Show,standard_lead,2,6.0,0.44,8,7,4,2,Custom Integration,Premium Plan,0,0,0,0,2,0,0,0,0,0,1,0.75,1,0.04,0.02,1,0,0,0,0,11,3,Viewed Product,1.27,5.5,0,0,Evening (5-9),Desktop,9.7,0
LEAD_00047,lead47@example.com,43,Latin America,Retail,51-200,Individual Contributor,Trade Show,standard_lead,10,5.6,0.39,7,4,4,2,Training Module,Enterprise Solution,0,0,0,1,0,1,5,0,0,0,0,0.0,0,0.38,0.0,0,0,0,0,1,65,65,Abandoned Session,1.08,6.5,1,1,Afternoon (12-5),Mobile,0.2,0
LEAD_00048,lead48@example.com,31,Middle East,SaaS,11-50,Manager,LinkedIn,standard_lead,6,4.6,0.77,2,1,2,1,Enterprise Solution,Premium Plan,0,0,0,1,0,1,6,0,0,0,2,0.78,0,0.07,0.0,0,1,1,7,0,54,16,Email Click,0.78,9.0,1,0,Morning (9-12),Desktop,27.3,1
LEAD_00049,lead49@example.com,33,Africa,E-commerce,1-10,C-Level,Webinar,standard_lead,3,5.7,0.72,7,4,5,3,Training Module,Support Package,1,0,0,0,1,0,0,0,0,0,1,0.83,0,0.2,0.0,0,0,0,0,0,17,6,Just Browsing,1.24,5.7,0,1,Night (9-12),Mobile,13.05,0
LEAD_00050,lead50@example.com,22,North America,Consulting,1-10,Individual Contributor,Trade Show,standard_lead,6,3.6,0.76,8,6,1,0,Premium Plan,Custom Integration,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0.17,0.11,0,0,0,0,0,25,21,Just Browsing,1.68,4.2,1,0,Afternoon (12-5),Mobile,0.0,0
LEAD_00051,lead51@example.com,54,Latin America,Consulting,201-1000,Director,Email Campaign,standard_lead,2,3.5,0.57,8,5,3,1,Training Module,Custom Integration,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0.13,0.09,0,0,0,0,0,32,1,Email Click,0.44,16.0,0,0,Evening (5-9),Mobile,13.15,0
LEAD_00052,lead52@example.com,34,Africa,Technology,51-200,VP,Webinar,standard_lead,5,3.4,0.57,9,6,2,1,Analytics Add-on,Starter Package,0,0,0,0,2,1,4,0,0,1,0,0.0,0,0.25,0.0,0,0,0,0,0,88,22,Just Browsing,0.4,17.6,1,0,Evening (5-9),Desktop,12.9,1
LEAD_00053,lead53@example.com,48,Asia Pacific,Education,1-10,Manager,Email Campaign,standard_lead,5,3.8,0.57,12,10,2,0,API Access,Enterprise Solution,0,0,1,0,0,1,4,0,0,1,0,0.0,0,0.08,0.0,0,0,0,0,0,87,8,Just Browsing,0.4,17.4,1,0,Afternoon (12-5),Desktop,21.6,0
LEAD_00054,lead54@example.com,44,Africa,Manufacturing,201-1000,C-Level,Google Ads,standard_lead,3,6.4,0.94,10,8,2,1,API Access,Premium Plan,0,0,1,0,0,0,0,1,0,0,0,0.0,0,0.22,0.0,0,0,0,0,0,41,20,Just Browsing,0.51,13.7,0,1,Evening (5-9),Tablet,6.1,0
LEAD_00055,lead55@example.com,52,Asia Pacific,Education,1-10,Individual Contributor,Referral,standard_lead,7,7.0,0.48,9,5,4,2,Premium Plan,Analytics Add-on,0,0,0,0,1,0,0,0,0,2,0,0.0,0,0.33,0.0,0,0,0,0,0,41,29,Just Browsing,1.2,5.9,1,0,Night (9-12),Mobile,4.1,0
LEAD_00056,lead56@example.com,48,Latin America,Healthcare,201-1000,Individual Contributor,Referral,standard_lead,3,4.7,0.58,9,7,2,1,Custom Integration,API Access,0,0,0,0,1,0,0,1,0,0,0,0.0,0,0.02,0.0,0,1,0,0,0,27,5,Email Click,0.78,9.0,0,0,Afternoon (12-5),Desktop,12.85,0
LEAD_00057,lead57@example.com,49,Middle East,Retail,51-200,Senior Manager,Content Download,warm_lead,21,18.8,0.14,30,23,7,5,Premium Plan,Custom Integration,0,0,1,0,8,1,7,0,1,6,1,0.64,1,0.67,0.28,1,1,0,0,0,43,0,Form Submission,3.42,2.0,1,1,Evening (5-9),Mobile,103.5,1
LEAD_00058,lead58@example.com,33,Europe,Healthcare,201-1000,Director,Trade Show,standard_lead,5,4.2,0.33,1,0,0,0,Enterprise Solution,Premium Plan,0,0,0,0,0,0,0,1,0,1,0,0.0,1,0.36,0.19,0,0,0,0,0,55,1,Viewed Product,0.64,11.0,1,0,Morning (9-12),Mobile,19.2,0
LEAD_00059,lead59@example.com,41,Africa,Education,1000+,Director,LinkedIn,standard_lead,6,0.5,0.3,7,5,0,0,Custom Integration,Enterprise Solution,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0.06,0.03,0,0,0,0,0,41,6,Email Click,1.02,6.8,1,0,Evening (5-9),Desktop,11.35,0
LEAD_00060,lead60@example.com,30,Africa,Technology,51-200,Individual Contributor,Partner,standard_lead,2,5.0,0.52,8,6,0,0,API Access,Premium Plan,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.3,0.15,0,0,0,0,0,52,0,Viewed Product,0.27,26.0,0,1,Morning (9-12),Desktop,0.4,0
LEAD_00061,lead61@example.com,41,Asia Pacific,E-commerce,1-10,C-Level,Facebook,standard_lead,8,1.9,0.51,12,8,1,0,Enterprise Solution,Premium Plan,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.52,0.0,0,1,0,0,0,31,1,Just Browsing,1.81,3.9,1,0,Afternoon (12-5),Mobile,2.95,0
LEAD_00062,lead62@example.com,31,Europe,Finance,201-1000,Individual Contributor,Partner,standard_lead,7,3.1,0.55,4,2,1,0,Analytics Add-on,Custom Integration,0,0,0,0,1,0,0,0,0,1,1,0.96,0,0.48,0.0,1,0,0,0,0,86,7,Viewed Product,0.57,12.3,1,0,Evening (5-9),Mobile,4.85,0
LEAD_00063,lead63@example.com,24,Latin America,Retail,1000+,Manager,Facebook,standard_lead,7,1.7,0.43,7,5,2,1,Custom Integration,API Access,0,1,0,0,2,0,0,0,1,1,0,0.0,1,0.21,0.09,0,1,0,0,0,49,3,Viewed Product,1.0,7.0,1,1,Afternoon (12-5),Mobile,19.45,0
LEAD_00064,lead64@example.com,57,North America,Technology,201-1000,VP,Webinar,hot_lead,20,10.6,0.17,30,25,10,5,Starter Package,Premium Plan,1,1,1,1,10,1,4,0,1,2,2,0.95,1,0.99,0.61,1,1,0,0,0,27,1,Pricing Page,5.19,1.4,1,0,Night (9-12),Desktop,94.7,1
LEAD_00065,lead65@example.com,33,North America,Manufacturing,11-50,Manager,Website,standard_lead,2,5.7,0.47,8,6,1,0,API Access,Enterprise Solution,0,0,0,0,0,1,2,0,0,0,0,0.0,0,0.43,0.0,0,1,0,0,0,85,1,Just Browsing,0.16,42.5,0,0,Afternoon (12-5),Mobile,12.45,1
LEAD_00066,lead66@example.com,46,North America,Education,11-50,VP,Partner,standard_lead,4,0.8,0.44,11,7,1,0,Starter Package,Support Package,0,0,0,1,1,0,0,0,0,0,0,0.0,0,0.33,0.0,0,0,0,0,0,64,25,Abandoned Session,0.44,16.0,1,1,Morning (9-12),Desktop,0.0,1
LEAD_00067,lead67@example.com,42,Europe,Healthcare,1000+,C-Level,Cold Outreach,standard_lead,5,6.7,0.6,3,2,0,0,Training Module,Support Package,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0.16,0.0,0,1,0,0,0,29,1,Viewed Product,1.21,5.8,1,1,Afternoon (12-5),Desktop,4.35,0
LEAD_00068,lead68@example.com,31,North America,Manufacturing,1000+,Director,Email Campaign,standard_lead,8,3.9,0.85,4,3,5,2,Support Package,Enterprise Solution,0,0,0,1,2,0,0,0,0,0,1,0.77,1,0.08,0.04,0,1,0,0,0,5,5,Viewed Product,11.2,0.6,1,0,Night (9-12),Desktop,9.75,0
LEAD_00069,lead69@example.com,52,Africa,Education,1000+,Senior Manager,Trade Show,standard_lead,7,3.4,0.44,10,6,2,0,Starter Package,Analytics Add-on,0,0,0,0,1,0,0,0,1,0,0,0.0,0,0.24,0.0,0,0,0,0,0,44,7,Viewed Product,1.11,6.3,1,0,Morning (9-12),Mobile,12.3,0
LEAD_00070,lead70@example.com,47,Middle East,Manufacturing,1-10,Individual Contributor,Webinar,standard_lead,1,4.0,0.63,7,5,1,0,Premium Plan,Enterprise Solution,0,0,1,0,0,0,0,1,1,0,1,0.74,0,0.45,0.0,2,0,0,0,0,80,22,Email Click,0.09,80.0,0,0,Evening (5-9),Desktop,14.7,0
LEAD_00071,lead71@example.com,37,Middle East,E-commerce,51-200,Director,Facebook,standard_lead,3,7.0,0.53,10,6,1,0,Starter Package,Enterprise Solution,0,0,0,0,2,0,0,0,0,1,0,0.0,1,0.05,0.03,0,0,0,0,0,31,31,Viewed Product,0.68,10.3,0,1,Afternoon (12-5),Mobile,0.0,0
LEAD_00072,lead72@example.com,22,Africa,Healthcare,51-200,C-Level,Trade Show,standard_lead,3,1.8,0.53,8,6,1,0,Support Package,Premium Plan,0,1,0,0,1,0,0,0,0,0,2,0.94,0,0.31,0.0,0,1,0,0,0,39,13,Viewed Product,0.54,13.0,0,1,Evening (5-9),Mobile,0.0,0
LEAD_00073,lead73@example.com,41,Europe,Healthcare,1-10,Senior Manager,Partner,standard_lead,10,2.7,0.41,6,3,2,1,Custom Integration,Support Package,0,0,0,0,0,0,0,0,0,0,1,0.64,1,0.42,0.22,0,0,0,0,0,43,16,Email Click,1.63,4.3,1,0,Afternoon (12-5),Mobile,5.35,0
LEAD_00074,lead74@example.com,33,North America,E-commerce,11-50,Senior Manager,Google Ads,standard_lead,5,6.8,0.46,10,8,0,0,Analytics Add-on,Premium Plan,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.33,0.0,0,0,0,0,0,85,13,Just Browsing,0.41,17.0,1,0,Afternoon (12-5),Mobile,8.3,0
LEAD_00075,lead75@example.com,59,Europe,SaaS,1000+,Senior Manager,Cold Outreach,standard_lead,9,0.9,0.33,6,5,4,2,Enterprise Solution,Custom Integration,0,0,1,0,2,0,0,0,0,1,0,0.0,0,0.3,0.0,0,0,0,0,0,4,2,Abandoned Session,15.75,0.4,1,0,Evening (5-9),Mobile,19.15,0
LEAD_00076,lead76@example.com,22,Africa,Manufacturing,201-1000,Individual Contributor,Webinar,standard_lead,3,1.9,0.44,3,2,3,1,API Access,Analytics Add-on,0,0,0,0,2,1,4,0,0,0,1,0.99,0,0.57,0.0,0,0,0,0,0,70,13,Just Browsing,0.3,23.3,0,0,Night (9-12),Desktop,16.55,1
LEAD_00077,lead77@example.com,46,Europe,Technology,51-200,Director,Google Ads,engaged_smb,12,6.0,0.12,25,17,15,10,Training Module,Support Package,0,0,0,1,8,1,7,0,1,0,1,0.88,0,0.74,0.0,3,1,1,7,0,78,3,Form Submission,1.08,6.5,1,0,Afternoon (12-5),Desktop,88.9,1
LEAD_00078,lead78@example.com,47,Asia Pacific,SaaS,201-1000,Senior Manager,Trade Show,standard_lead,4,3.3,0.57,8,6,1,0,API Access,Starter Package,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.32,0.0,0,1,0,0,0,57,3,Viewed Product,0.49,14.2,1,0,Evening (5-9),Mobile,0.0,0
